rank,title,type,genres,tags,score,chapters,al_id,summary,cover,read_url
,__PEOPLE_COUNT__,config,,,11,,,,,
1,Solo Leveling,Manhwa,Action|Adventure|Fantasy,Zero to Hero|System|Modern Fantasy|Overpowered MC,10,200,105398,,Solo Leveling.jpg,https://comix.to/title/emqg8-solo-leveling
3,Player,Manhwa,Action|Adventure|Comedy|Fantasy|Martial Arts,Zero to Hero|Modern Fantasy|System|Overpowered MC,10,264,119363,,Player.jpg,https://comix.to/title/9gd50-player
1,Villains Are Destined to Die,Manhwa,Drama|Fantasy|Psychological|Romance|Isekai|Historical,Reincarnation|Villainess FL|Heavy Politics|Obsessive ML|System,10,213,118408,,Villains Are Destined to Die.jpg,https://comix.to/title/x0ynk-villains-are-destined-to-die
3,Viral Hit,Manhwa,Action|Comedy|Martial Arts|Drama,Zero to Hero|Genius MC,10,,121991,,How to fight.png,https://comix.to/title/63d68-viral-hit
2,A Returner's Magic Should Be Special,Manhwa,Action|Adventure|Fantasy|Magic,Regression|Genius MC|Magic Academy|Hidden Identity|Overpowered MC,10,,105393,,Returner's Magic Should Be Special.jpg,https://comix.to/title/jjx3v-a-returners-magic-should-be-special
7,Absolute Regression,Manhwa,Action|Fantasy|Murim|Martial Arts,Regression|Genius MC|Overpowered MC|Hidden Identity,9,108,180891,,Absolute Regression.jpg,https://comix.to/title/zdlj5-absolute-regression
7,"Myst, Might, Mayhem",Manhwa,Action|Fantasy|Murim|Martial Arts,Genius MC|Overpowered MC|Hidden Identity,9,109,175946,,"Myst, Might, Mayhem.jpg",https://comix.to/title/9wv0-myst-might-mayhem
6,Li'l Miss Vampire Can't Suck Right,Manga,Comedy|Slice of Life|Supernatural,Sunshine FL|Slow Burn Romance,9.5,80,132180,,Li'l Miss Vampire Can't Suck Right.jpg,https://comix.to/title/3egv-lil-miss-vampire-cant-suck-right
1,Ending Maker,Manhwa,Action|Adventure|Comedy|Fantasy|Romance|Martial Arts|Magic,Reincarnation|Slow Burn Romance|Genius MC|Enemies to Lovers,10,78,150170,,Ending Maker.jpg,https://comix.to/title/zrw5-ending-maker
